level=0, idx='0'
level=1, idx='1'
level=2, idx='2'
level=3, idx='3'
level=4, idx='4'
level=5, idx='5'
level=6, idx='6'
level=7, idx='7'
level=6, idx='23'
level=7, idx='24'
level=5, idx='86'
level=6, idx='87'
level=7, idx='88'
level=8, idx='89'
level=7, idx='111'
level=8, idx='112'
level=9, idx='113'
level=10, idx='114'
level=11, idx='115'
level=9, idx='141'
level=7, idx='186'
level=8, idx='187'
level=9, idx='188'
level=10, idx='189'
level=10, idx='217'
level=11, idx='229'
level=12, idx='230'
level=13, idx='231'
level=8, idx='295'
level=9, idx='296'
level=10, idx='297'
level=9, idx='303'
level=10, idx='304'
level=6, idx='335'
level=7, idx='336'
level=8, idx='369'
level=7, idx='373'
level=8, idx='374'
level=7, idx='402'
level=4, idx='418'
level=5, idx='419'
level=6, idx='420'
level=7, idx='421'
level=8, idx='422'
level=6, idx='427'
level=5, idx='431'
level=6, idx='432'
level=7, idx='433'
level=8, idx='434'
level=7, idx='446'
level=6, idx='450'
level=7, idx='451'
level=8, idx='452'
level=7, idx='478'
level=8, idx='479'
level=9, idx='480'
level=8, idx='497'
level=7, idx='542'
level=6, idx='573'
level=7, idx='574'
level=5, idx='602'
level=6, idx='603'
level=6, idx='633'
level=7, idx='634'
level=8, idx='635'
level=7, idx='671'
level=8, idx='672'
level=9, idx='673'
level=10, idx='674'
level=9, idx='680'
level=10, idx='681'
level=11, idx='682'
level=10, idx='760'
level=8, idx='798'
level=9, idx='799'
level=10, idx='800'
level=11, idx='801'
level=10, idx='828'
level=8, idx='863'
level=9, idx='864'
level=10, idx='865'
level=9, idx='871'
level=10, idx='872'
level=4, idx='881'
level=5, idx='882'
level=6, idx='883'
level=6, idx='894'
level=7, idx='895'
level=6, idx='918'
level=7, idx='919'
level=8, idx='920'
level=9, idx='921'
level=9, idx='950'
level=5, idx='962'
level=6, idx='963'
level=7, idx='964'
level=6, idx='968'
level=5, idx='999'
level=6, idx='1000'
level=6, idx='1003'
level=7, idx='1004'
level=7, idx='1032'
level=5, idx='1037'
level=6, idx='1038'
level=7, idx='1039'
level=6, idx='1068'
level=7, idx='1069'
level=3, idx='1095'
level=4, idx='1096'
level=5, idx='1097'
level=6, idx='1098'
level=6, idx='1101'
level=4, idx='1106'
level=5, idx='1107'
level=5, idx='1150'
level=6, idx='1151'
level=7, idx='1152'
level=8, idx='1153'
level=8, idx='1156'
level=7, idx='1172'
level=8, idx='1173'
level=9, idx='1174'
level=9, idx='1186'
level=10, idx='1187'
level=5, idx='1220'
level=6, idx='1221'
level=4, idx='1258'
level=4, idx='1261'
level=5, idx='1262'
level=6, idx='1263'
level=3, idx='1269'
level=4, idx='1270'
level=5, idx='1271'
level=6, idx='1272'
level=6, idx='1275'
level=7, idx='1276'
level=8, idx='1277'
level=8, idx='1296'
level=9, idx='1297'
level=9, idx='1347'
level=6, idx='1381'
level=7, idx='1382'
level=8, idx='1383'
level=9, idx='1384'
level=9, idx='1408'
level=8, idx='1440'
level=9, idx='1441'
level=4, idx='1449'
level=5, idx='1450'
level=6, idx='1451'
level=6, idx='1454'
level=7, idx='1455'
level=8, idx='1456'
level=9, idx='1457'
level=8, idx='1461'
level=9, idx='1462'
level=9, idx='1465'
level=7, idx='1490'
level=8, idx='1491'
level=9, idx='1492'
level=9, idx='1547'
level=10, idx='1548'
level=8, idx='1584'
level=9, idx='1585'
level=8, idx='1618'
level=9, idx='1619'
level=7, idx='1651'
level=8, idx='1652'
level=7, idx='1656'
level=8, idx='1657'
level=9, idx='1658'
level=10, idx='1659'
level=10, idx='1662'
level=10, idx='1668'
level=11, idx='1669'
level=9, idx='1712'
level=10, idx='1713'
level=11, idx='1714'
level=12, idx='1715'
level=11, idx='1751'
level=12, idx='1752'
level=13, idx='1753'
level=14, idx='1754'
level=15, idx='1755'
level=15, idx='1758'
level=13, idx='1784'
level=14, idx='1785'
level=12, idx='1807'
level=13, idx='1848'
level=12, idx='1864'
level=11, idx='1891'
level=10, idx='1922'
level=10, idx='1925'
level=11, idx='1926'
level=12, idx='1927'
level=12, idx='1933'
level=9, idx='1941'
level=10, idx='1942'
level=11, idx='1943'
level=12, idx='1944'
level=13, idx='1945'
level=12, idx='1952'
